artist,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
baltra,ahead of time,0.742,0.689,-8.556,0.0469,0.104,0.227,0.397,0.159,120.994,0
dan kye,moving,0.899,0.763,-11.548,0.0601,0.262,0.627,0.0869,0.905,122.005,3
kamaal williams,one more time,0.563,0.64,-8.946,0.0648,0.024,0.0454,0.323,0.819,151.703,3
ivan ave,on the very low,0.462,0.471,-11.503,0.275,0.804,0.0015,0.0941,0.769,49.683,6
marcy luarks,electric murder,0.805,0.466,-13.018,0.098,0.0194,0.869,0.0796,0.954,129.728,4
earl sweatshirt,the mint (feat. navy blue),0.417,0.731,-4.989,0.265,0.00525,0.0352,0.621,0.575,134.003,5
tems,damages,0.712,0.497,-8.106,0.431,0.528,2.65e-05,0.125,0.516,128.385,2
oxlade,away,0.728,0.711,-8.315,0.187,0.228,0.288,0.0923,0.712,104.849,3
jessy lanza,lick in heaven,0.843,0.419,-10.298,0.0983,0.549,0.381,0.0729,0.787,118.017,3
duckwrth,super bounce,0.772,0.61,-6.175,0.206,0.239,0.000538,0.124,0.747,74.519,3
starchild & the new romantic,tape,0.768,0.844,-5.047,0.121,0.721,0.00961,0.105,0.677,143.974,3
erika de casier,"no butterflies, no nothing",0.554,0.511,-10.643,0.1,0.647,0.0131,0.0889,0.211,156.026,6
haich ber na,by floras,0.78,0.582,-9.184,0.0422,0.373,0.574,0.192,0.534,138.001,4
r.a.p. ferreira,leaving hell,0.599,0.723,-8.674,0.205,0.239,0.399,0.137,0.648,129.952,3
galcher lustwerk,another story - another version,0.835,0.353,-11.213,0.116,0.000921,0.0809,0.075,0.398,124.03,3
dj lycox,jam,0.707,0.389,-8.285,0.138,0.299,0.907,0.127,0.388,173.938,4
burna boy,on the low,0.816,0.781,-4.237,0.0425,0.692,0.00928,0.0835,0.937,99.95,3
wizkid,ginger (feat. burna boy),0.545,0.749,-6.621,0.153,0.103,0.0,0.232,0.681,100.503,3
fela kuti,frustration,0.744,0.528,-14.484,0.0961,0.354,0.91,0.175,0.714,100.456,4
four tet,parallel 2,0.65,0.81,-11.539,0.0555,0.0284,0.891,0.0925,0.119,121.87,4
sault,don't waste my time,0.841,0.891,-6.531,0.0356,0.0234,0.0125,0.0971,0.393,110.01,3
unknown mortal orchestra,hunnybee,0.956,0.373,-7.963,0.0773,0.569,0.394,0.314,0.568,119.994,3
darondo,didn't i,0.463,0.382,-11.682,0.0278,0.897,0.263,0.108,0.638,74.573,6
